Player,Team,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,xG per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,"Accurate passes, %",xA per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %"
R. Edgar,Stranraer,CF,,20,936,1,1.75,1,1.29,0.18,13,1.36,30.77,7.692,10.17,24.74,3.04,64.1,0.13,1.26,25
D. Lang,Stranraer,CF,25,16,1036,3,3.91,2,0.98,0.36,27,2.46,48.15,11.111,13.29,28.08,4.37,62.42,0.09,1.64,33.33
M. Russell,Stranraer,"CF, LCMF, RCMF",29,20,1830,5,4.59,1,2.5,0.24,28,1.45,46.43,17.857,12.08,36.48,1.35,73.5,0.13,2.64,50.98
B. Rodden,Forfar Athletic,"CF, LW, LAMF",28,22,1502,2,2.8,3,1.78,0.17,24,1.44,37.5,8.333,6.23,36.54,2.64,59.58,0.11,2.64,43.18
R. Hamilton,Edinburgh City,"CF, RCMF, AMF",20,17,520,0,0.1,1,0.23,0.02,3,0.52,33.33,0,2.94,47.06,0.87,66.39,0.04,1.21,71.43
T. Daramola,Edinburgh City,CF,23,7,197,0,2.22,1,0.74,1.02,14,6.4,42.86,0,14.16,19.35,8.68,57.14,0.34,0.46,100
D. Byrne,Forfar Athletic,CF,28,5,203,1,0.3,0,0.51,0.13,2,0.89,50,50,4.88,27.27,1.77,65.22,0.23,1.33,66.67
J. Skelly,Forfar Athletic,"CF, AMF",28,24,1394,1,4.4,3,2.9,0.28,42,2.71,38.1,2.381,9.68,34.67,3.55,62.37,0.19,2.65,26.83
O. See,Edinburgh City,"CF, AMF",30,16,980,8,5.27,3,0.77,0.48,18,1.65,61.11,44.444,10.84,17.8,2.39,71.21,0.07,0.46,20
R. McLean,Forfar Athletic,CF,26,24,1481,7,6.4,1,1.71,0.39,50,3.04,36,14,11.61,26.18,3.65,56.07,0.1,1.88,45.16
J. Stokes,Edinburgh City,CF,26,24,2212,4,3.94,3,1.92,0.16,23,0.94,43.48,17.391,12.57,32.04,1.99,72.47,0.08,1.67,41.46
League Two Average,,,26,18,1141,3.93,3.81,1.36,1.11,0.31,26.02,2.1,41.67,15.41,9.59,30.53,3.1,65.36,0.1,1.57,42.74
