Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Interceptions per 90,PAdj Interceptions,Crosses per 90,"Accurate crosses, %","Accurate forward passes, %","Accurate long passes, %",Passes to final third per 90,"Accurate passes to final third, %"
T. Brindley,Stranraer,"LB, LDMF, LCB",23,19,1403,13.06,9.21,67.16,5.29,49.35,6.53,8.51,1.86,18.52,56.69,37.78,6.26,52.75
F. Ecrepont,Stranraer,"LB, LWB, LW",22,19,1485,11.26,7.89,59.02,6.02,55.91,6.28,8.69,3.43,32.08,51.5,29.25,10.87,44.05
S. Robertson,Stranraer,"RB, LCMF, RWB",37,18,1315,8.85,6.12,73.49,6.41,52.87,4.05,5.59,0.74,20,54.24,36.92,5.97,41.98
J. Laing,Spartans,RB,21,5,293,12.9,10.14,51.52,2.15,85.71,7.37,10.29,0.92,66.67,50,41.67,7.37,37.5
B. Dall,Spartans,LB,21,16,1206,11.87,9.03,62.81,6.27,57.14,5.3,7.5,2.16,44.83,50.82,41.33,4.25,45.61
A. Preston,Spartans,"RB, LB",18,11,539,10.52,7.35,56.82,4.01,54.17,6.18,8.6,1.34,50,66.67,53.66,7.18,65.12
G. Lennon,Bonnyrigg Rose Athletic,LB,19,10,752,6.94,6.7,48.21,7.06,40.68,3.71,5.11,1.56,38.46,58.87,46.67,7.42,64.52
K. Somerville,Bonnyrigg Rose Athletic,"LB, RB, RCB",27,21,1660,7.92,5.2,63.54,5.48,64.36,4.45,6.46,2.06,26.32,52.88,37.5,5.64,48.08
A. Mailer,Bonnyrigg Rose Athletic,RB,26,21,1871,8.75,5.63,70.94,4.57,56.84,4.38,6.33,1.3,29.63,51.87,41.84,4.71,45.92
K. Watson,Spartans,RB,25,27,2023,9.74,5.21,63.25,6.67,53.33,5.78,8.3,0.93,42.86,63.55,51.23,8.81,54.04
Q. Mitchell,Edinburgh City,"LB, LW, LAMF",21,24,2085,10.06,6.22,68.06,3.58,54.22,5.35,8.34,0.82,21.05,55.68,34.75,5.91,53.28
M. Sweenie-Rowe,Forfar Athletic,LB,,6,501,8.8,6.47,63.89,6.29,60,4.67,6.61,2.87,37.5,61.18,53.66,7.01,56.41
M. Lemon,Forfar Athletic,LB,22,5,470,9.38,5.74,80,8.43,56.82,4.4,7.04,0.38,50,58.43,41.18,6.7,42.86
C. Logan,Forfar Athletic,RB,23,22,2095,8.46,6.44,72.67,3.14,46.58,3.57,5.5,2.66,32.26,69.48,53.74,6.44,68.67
J. Grigor,Edinburgh City,"LB, LCB, RB",22,20,1877,9.45,6.04,65.87,5.71,52.94,5.27,8.05,0.82,5.88,57.67,33.1,5.47,37.72
J. Robertson,Edinburgh City,RB,36,22,1854,9.61,6.99,62.5,5,61.17,5.05,7.8,1.07,59.09,63.24,41.6,6.7,64.49
League Two Average,,,25,16,1218,9.78,7.23,65.03,4.68,54.67,4.76,7.01,2.13,34.46,57.05,41.98,6.5,50.77
